CEST	NCM_LIST	DESCRIPTION
"1000300"	"['32149000']"	"outras argamassas"
"1000400"	"['391000']"	"silicones em formas primárias, para uso na construção"
"1000500"	"['3916']"	"revestimentos de pvc e outros plásticos; forro, sancas e afins de pvc, para uso na construção"
"1000600"	"['3917']"	"tubos, e seus acessórios (por exemplo, juntas, cotovelos, flanges, uniões), de plásticos, para uso na construção"
"1000700"	"['3918']"	"revestimento de pavimento de pvc e outros plásticos"
"1000800"	"['3919']"	"chapas, folhas, tiras, fitas, películas e outras formas planas, autoadesivas, de plásticos, mesmo em rolos, para uso na construção"
"1000900"	"['3919', '3920', '3921']"	"veda rosca, lona plástica para uso na construção, fitas isolantes e afins"
"1001000"	"['3921']"	"telha de plástico, mesmo reforçada com fibra de vidro"
"1001100"	"['3921']"	"cumeeira de plástico, mesmo reforçada com fibra de vidro"
"1001200"	"['3921']"	"chapas, laminados plásticos em bobina, para uso na construção, exceto os descritos no cest 10.010.00 e 10.011.00"
"1001300"	"['3922']"	"banheiras, boxes para chuveiros, pias, lavatórios, bidês, sanitários e seus assentos e tampas, caixas de descarga e artigos semelhantes para usos sanitários ou higiênicos, de plásticos"
"1001400"	"['3924']"	"artefatos de higiene/toucador de plástico, para uso na construção"
"1001500"	"['39251000']"	"caixa d’água, inclusive sua tampa, de plástico, mesmo reforçadas com fibra de vidro"
"1001600"	"['392590']"	"outras telhas, cumeeira e caixa d’água, inclusive sua tampa, de plástico, mesmo reforçadas com fibra de vidro"
"1001700"	"['39251000', '392590']"	"artefatos para apetrechamento de construções, de plásticos, não especificados nem compreendidos em outras posições, incluindo persianas, sancas, molduras, apliques e rosetas, caixilhos de polietileno e outros plásticos, exceto os descritos nos cest 10.015.00 e 10.016.00"
"1001800"	"['39252000']"	"portas, janelas e seus caixilhos, alizares e soleiras"
"1001900"	"['39253000']"	"postigos, estores (incluídas as venezianas) e artefatos semelhantes e suas partes"
"1002000"	"['392690']"	"outras obras de plástico, para uso na construção"
"1002100"	"['4814']"	"papel de parede e revestimentos de parede semelhantes; papel para vitrais"
"1002200"	"['68101900']"	"telhas de concreto"
"1002300"	"['6811']"	"telha, cumeeira e caixa d’água, inclusive sua tampa, de fibrocimento, cimento-celulose"
"1002400"	"['6811']"	"caixas d’água, tanques e reservatórios e suas tampas, telhas, calhas, cumeeiras e afins, de fibrocimento, cimento-celulose ou semelhantes, contendo ou não amianto, exceto os descritos no cest 10.023.00"
"1002500"	"['69010000']"	"tijolos, placas (lajes), ladrilhos e outras peças cerâmicas de farinhas siliciosas fósseis (kieselghur, tripolita, diatomita, por exemplo) ou de terras siliciosas semelhantes"
"1002600"	"['6902']"	"tijolos, placas (lajes), ladrilhos e peças cerâmicas semelhantes, para uso na construção, refratários, que não sejam de farinhas siliciosas fósseis nem de terras siliciosas semelhantes"
"1002700"	"['6904']"	"tijolos para construção, tijoleiras, tapa-vigas e produtos semelhantes, de cerâmica"
"1002800"	"['6905']"	"telhas, elementos de chaminés, condutores de fumaça, ornamentos arquitetônicos, de cerâmica, e outros produtos cerâmicos para uso na construção"
"1002900"	"['69060000']"	"tubos, calhas ou algerozes e acessórios para canalizações, de cerâmica"
"1003000"	"['6907']"	"ladrilhos e placas de cerâmica, exclusivamente para pavimentação ou revestimento"
"1003001"	"['6907']"	"cubos, pastilhas e artigos semelhantes de cerâmica, mesmo com suporte, exceto os descritos cest 10.030.00"
"1003100"	"['6910']"	"pias, lavatórios, colunas para lavatórios, banheiras, bidês, sanitários, caixas de descarga, mictórios e aparelhos fixos semelhantes para usos sanitários, de cerâmica"
"1003200"	"['69120000']"	"artefatos de higiene/toucador de cerâmica"
"1003300"	"['7003']"	"vidro vazado ou laminado, em chapas, folhas ou perfis, mesmo com camada absorvente, refletora ou não, mas sem qualquer outro trabalho"
"1003400"	"['7004']"	"vidro estirado ou soprado, em folhas, mesmo com camada absorvente, refletora ou não, mas sem qualquer outro trabalho"
"1003500"	"['7005']"	"vidro flotado e vidro desbastado ou polido em uma ou em ambas as faces, em chapas ou em folhas, mesmo com camada absorvente, refletora ou não, mas sem qualquer outro trabalho"
"1003600"	"['70071900']"	"vidros temperados"
"1003700"	"['70072900']"	"vidros laminados"
"1003800"	"['7008']"	"vidros isolantes de paredes múltiplas"
"1003900"	"['7016']"	"blocos, placas, tijolos, ladrilhos, telhas e outros artefatos, de vidro prensado ou moldado, mesmo armado, para uso na construção; cubos, pastilhas e outros artigos semelhantes"
"1004000"	"['72142000']"	"barras próprias para construções, exceto vergalhões"
"1004100"	"['73089010']"	"outras barras próprias para construções, exceto vergalhões"
"1004101"	"['73089010']"	"outros vergalhões"
"1004200"	"['72142000']"	"vergalhões"
"1004300"	"['7213', '73089010']"	"outros vergalhões"
"1004400"	"['72171090', '7312']"	"fios de ferro ou aço não ligados, não revestidos, mesmo polidos; cordas, cabos, tranças (entrançados), lingas e artefatos semelhantes, de ferro ou aço, não isolados para usos elétricos"
"1004500"	"['72172010']"	"outros fios de ferro ou aço, não ligados, galvanizados com teor de carbono superior ou igual a 0,6%, em peso"
"1004501"	"['72172090']"	"outros fios de ferro ou aço, não ligados, galvanizados"
"1004600"	"['7307']"	"acessórios para tubos (inclusive uniões, cotovelos, luvas ou mangas), de ferro fundido, ferro ou aço"
"1004700"	"['73083000']"	"portas e janelas, e seus caixilhos, alizares e soleiras de ferro fundido, ferro ou aço"
"1004800"	"['73084000', '730890']"	"material para andaimes, para armações (cofragens) e para escoramentos, (inclusive armações prontas, para estruturas de concreto armado ou argamassa armada), eletrocalhas e perfilados de ferro fundido, ferro ou aço, próprios para construção, exceto treliças de aço"
"1004900"	"['73084000']"	"treliças de aço"
"1005000"	"['73089090']"	"telhas metálicas"
"1005100"	"['7310']"	"caixas diversas (tais como caixa de correio, de entrada de água, de energia, de instalação) de ferro fundido, ferro ou aço; próprias para a construção"
"1005200"	"['73130000']"	"arame farpado, de ferro ou aço, arames ou tiras, retorcidos, mesmo farpados, de ferro ou aço, dos tipos utilizados em cercas"
"1005300"	"['7314']"	"telas metálicas, grades e redes, de fios de ferro ou aço"
"1005400"	"['73151100']"	"correntes de rolos, de ferro fundido, ferro ou aço"
"1005500"	"['73151290']"	"outras correntes de elos articulados, de ferro fundido, ferro ou aço"
"1005600"	"['73158200']"	"correntes de elos soldados, de ferro fundido, de ferro ou aço"
"1005700"	"['731700']"	"tachas, pregos, percevejos, escápulas, grampos ondulados ou biselados e artefatos semelhantes, de ferro fundido, ferro ou aço, mesmo com a cabeça de outra matéria, exceto cobre"
"1005800"	"['7318']"	"parafusos, pinos ou pernos, roscados, porcas, tira-fundos, ganchos roscados, rebites, chavetas, cavilhas, contrapinos, arruelas (incluídas as de pressão) e artefatos semelhantes, de ferro fundido, ferro ou aço"
"1005900"	"['7323']"	"palha de ferro ou aço, exceto os de uso doméstico classificados na posição ncm 7323.10.00"
"1005901"	"['7323']"	"esponjas, esfregões, luvas e artefatos semelhantes para limpeza, polimento e usos semelhantes, de ferro ou aço, exceto os de uso doméstico classificados na posição ncm 7323.10.00"
"1006000"	"['7324']"	"artefatos de higiene ou de toucador, e suas partes, de ferro fundido, ferro ou aço, incluídas as pias, banheiras, lavatórios, cubas, mictórios, tanques e afins de ferro fundido, ferro ou aço, para uso na construção"
"1006100"	"['7325']"	"outras obras moldadas, de ferro fundido, ferro ou aço, para uso na construção"
"1006200"	"['7326']"	"abraçadeiras"
"1006300"	"['7407']"	"barras de cobre"
"1006400"	"['74111010']"	"tubos de cobre e suas ligas, para instalações de água quente e gás, para uso na construção"
"1006500"	"['7412']"	"acessórios para tubos (por exemplo, uniões, cotovelos, luvas ou mangas) de cobre e suas ligas, para uso na construção"
"1006600"	"['7415']"	"tachas, pregos, percevejos, escápulas e artefatos semelhantes, de cobre, ou de ferro ou aço com cabeça de cobre, parafusos, pinos ou pernos, roscados, porcas, ganchos roscados, rebites, chavetas, cavilhas, contrapinos, arruelas (incluídas as de pressão), e artefatos semelhantes, de cobre"
"1006700"	"['74182000']"	"artefatos de higiene/toucador de cobre, para uso na construção"
"1006800"	"['76071990']"	"manta de subcobertura aluminizada"
"1006900"	"['7608']"	"tubos de alumínio e suas ligas, para refrigeração e ar condicionado, para uso na construção"
"1007000"	"['76090000']"	"acessórios para tubos (por exemplo, uniões, cotovelos, luvas ou mangas), de alumínio, para uso na construção"
"1007100"	"['7610']"	"construções e suas partes (por exemplo, pontes e elementos de pontes, torres, pórticos ou pilones, pilares, colunas, armações, estruturas para telhados, portas e janelas, e seus caixilhos, alizares e soleiras, balaustradas), de alumínio, exceto as construções pré-fabricadas da posição 9406; chapas, barras, perfis, tubos e semelhantes, de alumínio, próprios para construções"
"1007200"	"['76152000']"	"artefatos de higiene/toucador de alumínio, para uso na construção"
"1007300"	"['7616']"	"outras obras de alumínio, próprias para construções, incluídas as persianas"
"1007400"	"['83024100']"	"outras guarnições, ferragens e artigos semelhantes de metais comuns, para construções, inclusive puxadores."
"1007500"	"['8301']"	"fechaduras e ferrolhos (de chave, de segredo ou elétricos), de metais comuns, incluídas as suas partes fechos e armações com fecho, com fechadura, de metais comuns chaves para estes artigos, de metais comuns; exceto os de uso automotivo"
"1007600"	"['83021000']"	"dobradiças de metais comuns, de qualquer tipo"
"1007700"	"['8307']"	"tubos flexíveis de metais comuns, mesmo com acessórios, para uso na construção"
"1007800"	"['8311']"	"fios, varetas, tubos, chapas, eletrodos e artefatos semelhantes, de metais comuns ou de carbonetos metálicos, revestidos exterior ou interiormente de decapantes ou de fundentes, para soldagem (soldadura) ou depósito de metal ou de carbonetos metálicos fios e varetas de pós de metais comuns aglomerados, para metalização por projeção"
"1007900"	"['8481']"	"torneiras, válvulas (incluídas as redutoras de pressão e as termostáticas) e dispositivos semelhantes, para canalizações, caldeiras, reservatórios, cubas e outros recipientes"
"1008000"	"['7009']"	"espelhos de vidro, mesmo emoldurados, exceto os de uso automotivo"
"1100100"	"['28289011', '28289019', '32064100', '34022000', '38089419']"	"água sanitária, branqueador e outros alvejantes"
"1100200"	"['34012090', '38089419']"	"sabões em pó, flocos, palhetas, grânulos ou outras formas semelhantes, para lavar roupas, inclusive adicionados de propriedades desinfetantes ou sanitizantes."
"1100200"	"['34012090']"	"sabões em pó, flocos, palhetas, grânulos ou outras formas semelhantes, para lavar roupas"
"1100300"	"['34012090', '38089419']"	"sabões líquidos para lavar roupas, inclusive adicionados de propriedades desinfetantes ou sanitizantes."
"1100300"	"['34012090']"	"sabões líquidos para lavar roupas"
"1100400"	"['34022000', '38089419']"	"detergentes em pó, flocos, palhetas, grânulos ou outras formas semelhantes, inclusive adicionados de propriedades desinfetantes ou sanitizantes."
"1100400"	"['34022000']"	"detergentes em pó, flocos, palhetas, grânulos ou outras formas semelhantes, inclusive adicionados de propriedades desinfetantes ou sanitizantes"
"1100400"	"['34022000']"	"detergentes em pó, flocos, palhetas, grânulos ou outras formas semelhantes"
"1100500"	"['34022000']"	"detergentes líquidos, exceto para lavar roupa"
"1100600"	"['34022000', '38089419']"	"detergente líquido para lavar roupa, inclusive adicionados de propriedades desinfetantes ou sanitizantes."
"1100600"	"['34022000']"	"detergentes líquidos para lavar roupa, inclusive adicionados de propriedades desinfetantes ou sanitizantes"
"1100600"	"['34022000']"	"detergente líquido para lavar roupa"
"1100700"	"['3402']"	"outros agentes orgânicos de superfície (exceto sabões); preparações tensoativas, preparações para lavagem (incluídas as preparações auxiliares para lavagem) e preparações para limpeza (inclusive multiuso e limpadores), mesmo contendo sabão, exceto os produtos descritos nos cest 11.001.00, 11.004.00, 11.005.00 e 11.006.00; em embalagem de conteúdo inferior ou igual a 50 litros ou 50 kg"
"1100800"	"['38099190']"	"amaciante/suavizante"
"1100900"	"['39241000', '39249000', '68053010', '68053090']"	"esponjas para limpeza"
"1101000"	"['2207', '22089000']"	"álcool etílico para limpeza"
"1101100"	"['73231000']"	"esponjas e palhas de aço; esponjas para limpeza, polimento ou uso semelhantes; todas de uso doméstico"
"1101200"	"['39232']"	"sacos de lixo de conteúdo igual ou inferior a 100 litros"
"1200100"	"['8504']"	"transformadores, bobinas de reatância e de auto indução, inclusive os transformadores de potência superior a 16 kva, classificados nas posições 8504.33.00 e 8504.34.00; exceto os demais transformadores da subposição 8504.3, os reatores para lâmpadas elétricas de descarga classificados no código 8504.10.00, os carregadores de acumuladores do código 8504.40.10, os equipamentos de alimentação ininterrupta de energia (ups ou “no break”), no código 8504.40.40 e os de uso automotivo"
"1200200"	"['8516']"	"aquecedores elétricos de água, incluídos os de imersão, chuveiros ou duchas elétricos, torneiras elétricas, resistências de aquecimento, inclusive as de duchas e chuveiros elétricos e suas partes; exceto outros fornos, fogareiros (incluídas as chapas de cocção), grelhas e assadeiras, classificados na posição 8516.60.00"
"1200300"	"['8535']"	"aparelhos para interrupção, seccionamento, proteção, derivação, ligação ou conexão de circuitos elétricos (por exemplo, interruptores, comutadores, corta-circuitos, para-raios, limitadores de tensão, eliminadores de onda, tomadas de corrente e outros conectores, caixas de junção), para tensão superior a 1.000v, exceto os de uso automotivo"
"1200400"	"['8536']"	"aparelhos para interrupção, seccionamento, proteção, derivação, ligação ou conexão de circuitos elétricos (por exemplo, interruptores, comutadores, relés, corta-circuitos, eliminadores de onda, plugues e tomadas de corrente, suportes para lâmpadas e outros conectores, caixas de junção), para uma tensão não superior a 1.000v; conectores para fibras ópticas, feixes ou cabos de fibras ópticas; exceto “starter” classificado na subposição 8536.50 e os de uso automotivo"
"1200500"	"['8538']"	"partes reconhecíveis como exclusiva ou principalmente destinadas aos aparelhos das posições 8535 e 8536"
"1200600"	"['74130000']"	"cabos, tranças e semelhantes, de cobre, não isolados para usos elétricos, exceto os de uso automotivo"
"1200700"	"['8544', '7605', '7614']"	"fios, cabos (incluídos os cabos coaxiais) e outros condutores, isolados ou não, para usos elétricos (incluídos os de cobre ou alumínio, envernizados ou oxidados anodicamente), mesmo com peças de conexão, inclusive fios e cabos elétricos, para tensão não superior a 1000v, para uso na construção; fios e cabos telefônicos e para transmissão de dados; cabos de fibras ópticas, constituídos de fibras embainhadas individualmente, mesmo com condutores elétricos ou munidos de peças de conexão; cordas, cabos, tranças e semelhantes, de alumínio, não isolados para uso elétricos; exceto os de uso automotivo"
"1200800"	"['8546']"	"isoladores de qualquer matéria, para usos elétricos"
"1200900"	"['8547']"	"peças isolantes inteiramente de matérias isolantes, ou com simples peças metálicas de montagem (suportes roscados, por exemplo) incorporadas na massa, para máquinas, aparelhos e instalações elétricas; tubos isoladores e suas peças de ligação, de metais comuns, isolados interiormente"
"1300100"	"['3003', '3004']"	"medicamentos de referência - positiva, exceto para uso veterinário"
"1300101"	"['3003', '3004']"	"medicamentos de referência - negativa, exceto para uso veterinário"
"1300102"	"['3003', '3004']"	"medicamentos de referência - neutra, exceto para uso veterinário"
"1300200"	"['3003', '3004']"	"medicamentos genérico - positiva, exceto para uso veterinário"
"1300201"	"['3003', '3004']"	"medicamentos genérico - negativa, exceto para uso veterinário"
"1300202"	"['3003', '3004']"	"medicamentos genérico - neutra, exceto para uso veterinário"
"1300300"	"['3003', '3004']"	"medicamentos similar - positiva, exceto para uso veterinário"
"1300301"	"['3003', '3004']"	"medicamentos similar - negativa, exceto para uso veterinário"
"1300302"	"['3003', '3004']"	"medicamentos similar - neutra, exceto para uso veterinário"
"1300400"	"['3003', '3004']"	"outros tipos de medicamentos - positiva, exceto para uso veterinário"
"1300401"	"['3003', '3004']"	"outros tipos de medicamentos - negativa, exceto para uso veterinário"
"1300402"	"['3003', '3004']"	"outros tipos de medicamentos - neutra, exceto para uso veterinário"
"1300500"	"['30066000']"	"preparações químicas contraceptivas à base de hormônios, de outros produtos da posição 29.37 ou de espermicidas - positiva"
"1300501"	"['30066000']"	"preparações químicas contraceptivas à base de hormônios, de outros produtos da posição 29.37 ou de espermicidas - negativa"
"1300502"	"['30066000']"	"preparações químicas contraceptivas genérico, à base de hormônios, de outros produtos da posição 29.37 ou de espermicidas – positiva."
"1300503"	"['30066000']"	"preparações químicas contraceptivas genérico, à base de hormônios, de outros produtos da posição 29.37 ou de espermicidas – negativa."
"1300504"	"['30066000']"	"preparações químicas contraceptivas similar, à base de hormônios, de outros produtos da posição 29.37 ou de espermicidas – positiva."
"1300505"	"['30066000']"	"preparações químicas contraceptivas similar, à base de hormônios, de outros produtos da posição 29.37 ou de espermicidas – negativa."
"1300600"	"['2936']"	"provitaminas e vitaminas, naturais ou reproduzidas por síntese (incluídos os concentrados naturais), bem como os seus derivados utilizados principalmente como vitaminas, misturados ou não entre si, mesmo em quaisquer soluções - neutra"
"1300700"	"['300630']"	"preparações opacificantes (contrastantes) para exames radiográficos e reagentes de diagnóstico concebidos para serem administrados ao paciente - positiva"
"1300701"	"['300630']"	"preparações opacificantes (contrastantes) para exames radiográficos e reagentes de diagnóstico concebidos para serem administrados ao paciente - negativa"
"1300800"	"['3002']"	"antissoro, outras frações do sangue, produtos imunológicos modificados, mesmo obtidos por via biotecnológica, exceto para uso veterinário - positiva"
"1300801"	"['3002']"	"antissoro, outras frações do sangue, produtos imunológicos modificados, mesmo obtidos por via biotecnológica, exceto para uso veterinário - negativa"
"1300900"	"['3002']"	"vacinas e produtos semelhantes, exceto para uso veterinário - positiva;"
"1300901"	"['3002']"	"vacinas e produtos semelhantes, exceto para uso veterinário - negativa;"
"1301000"	"['30051010']"	"curativos (pensos) adesivos e outros artigos com uma camada adesiva, impregnados ou recobertos de substâncias farmacêuticas - lista positiva"
"1301001"	"['30051010']"	"curativos (pensos) adesivos e outros artigos com uma camada adesiva, impregnados ou recobertos de substâncias farmacêuticas - lista negativa"
"1301100"	"['3005']"	"algodão, atadura, esparadrapo, gazes, pensos, sinapismos, e outros, acondicionados para venda a retalho para usos medicinais, cirúrgicos ou dentários, não impregnados ou recobertos de substâncias farmacêuticas - lista neutra"
"1301200"	"['40151100', '40151900']"	"luvas cirúrgicas e luvas de procedimento - neutra"
"1301300"	"['40141000']"	"preservativo – neutra"
"1301400"	"['901831']"	"seringas, mesmo com agulhas - neutra"
"1301500"	"['9018321']"	"agulhas para seringas - neutra"
"1301600"	"['39269090', '90189099']"	"contraceptivos (dispositivos intrauterinos - diu) - neutra"
"1400100"	"['7013']"	"objetos de vidro para serviço de mesa ou de cozinha"
"1400200"	"['70133700']"	"outros copos, exceto de vitrocerâmica"
"1400300"	"['70134290']"	"objetos para serviço de mesa (exceto copos) ou de cozinha, exceto de vitrocerâmica"
"1400400"	"['3919', '3920', '3921']"	"lonas plásticas, exceto as para uso na construção"
"1400500"	"['3924']"	"artefatos de higiene/toucador de plástico, exceto os para uso na construção"
"1400600"	"['39241000']"	"serviços de mesa e outros utensílios de mesa ou de cozinha, de plástico, não descartáveis"
"1400601"	"['39241000']"	"serviços de mesa e outros utensílios de mesa ou de cozinha, de plástico, descartáveis"
"1400700"	"['69111010']"	"artigos para serviço de mesa ou de cozinha, de porcelana, inclusive os descartáveis - estojos"
"1400800"	"['69111090']"	"artigos para serviço de mesa ou de cozinha, de porcelana, inclusive os descartáveis - avulsos"
"1400900"	"['69120000']"	"artigos para serviço de mesa ou de cozinha, de cerâmica"
"1401000"	"['69120000']"	"velas para filtros"
"1401100"	"['4823209']"	"filtros descartáveis para coar café ou chá"
"1401200"	"['48236']"	"bandejas, travessas, pratos, xícaras ou chávenas, taças, copos e artigos semelhantes, de papel ou cartão"
"1401300"	"['48131000']"	"papel para cigarro"
"1600100"	"['40111000']"	"pneus novos, dos tipos utilizados em automóveis de passageiros (incluídos os veículos de uso misto - camionetas e os automóveis de corrida)"
"1600200"	"['4011']"	"pneus novos, dos tipos utilizados em caminhões (inclusive para os fora-de-estrada), ônibus, aviões, máquinas de terraplenagem, de construção e conservação de estradas, máquinas e tratores agrícolas, pá-carregadeira"
"1600300"	"['40114000']"	"pneus novos para motocicletas"
"1600400"	"['4011']"	"outros tipos de pneus novos, exceto os itens classificados no cest 16.005.00"
"1600500"	"['40115000']"	"pneus novos de borracha dos tipos utilizados em bicicletas"
"1600600"	"['40121']"	"pneus recauchutados"
"1600700"	"['401290']"	"protetores de borracha, exceto os itens classificados no cest 16.007.01"
"1600701"	"['401290']"	"protetores de borracha para bicicletas"
"1600800"	"['4013']"	"câmaras de ar de borracha, exceto os itens classificados no cest 16.009.00"
"1600900"	"['40132000']"	"câmaras de ar de borracha dos tipos utilizados em bicicletas"
"1700100"	"['17049010']"	"chocolate branco, em embalagens de conteúdo inferior ou igual a 1 kg, excluídos os ovos de páscoa de chocolate"
"1700200"	"['18063110', '18063120']"	"chocolates contendo cacau, em embalagens de conteúdo inferior ou igual a 1 kg"
"1700300"	"['18063210', '18063220']"	"chocolate em barras, tabletes ou blocos ou no estado líquido, em pasta, em pó, grânulos ou formas semelhantes, em recipientes ou embalagens imediatas de conteúdo inferior ou igual a 2 kg"
"1700400"	"['18069000']"	"chocolates e outras preparações alimentícias contendo cacau, em embalagens de conteúdo inferior ou igual a 1 kg, excluídos os achocolatados em pó e ovos de páscoa de chocolate"
"1700500"	"['17049010']"	"ovos de páscoa de chocolate branco"
"1700501"	"['18069000']"	"ovos de páscoa de chocolate"
"1700600"	"['18069000']"	"achocolatados em pó, em embalagens de conteúdo inferior ou igual a 1 kg, exceto os classificados no cest 17.006.02"
"1700601"	"['18061000']"	"cacau em pó, com adição de açúcar ou de outros edulcorantes, em embalagens de conteúdo inferior ou igual a 1 kg"
"1700602"	"['18069000']"	"achocolatados em pó, em cápsulas"
"1700700"	"['18069000']"	"caixas de bombons contendo cacau, em embalagens de conteúdo inferior ou igual a 1 kg"
"1700800"	"['17049090']"	"bombons, inclusive à base de chocolate branco sem cacau"
"1700900"	"['18069000']"	"bombons, balas, caramelos, confeitos, pastilhas e outros produtos de confeitaria, contendo cacau"
"1701000"	"['2009']"	"sucos de frutas ou de produtos hortícolas; mistura de sucos"
"1701100"	"['20098']"	"água de coco"
"1701200"	"['04021', '04022', '04029']"	"leite em pó, blocos ou grânulos, exceto creme de leite"
"1701300"	"['19011020']"	"farinha láctea"
"1701400"	"['19011010']"	"leite modificado para alimentação de crianças"
"1701500"	"['19011090', '19011030']"	"preparações para alimentação infantil à base de farinhas, grumos, sêmolas ou amidos e outros"
"1701600"	"['04011010', '04012010']"	"leite “longa vida” (uht - “ultra high temperature”), em recipiente de conteúdo inferior ou igual a 2 litros"
"1701601"	"['04011010', '04012010']"	"leite “longa vida” (uht - “ultra high temperature”), em recipiente de conteúdo superior a 2 litros e inferior ou igual a 5 litros"
"1701700"	"['04014010', '04015010']"	"leite em recipiente de conteúdo inferior ou igual a 1 litro"
"1701701"	"['04014010', '04015010']"	"leite em recipiente de conteúdo superior a 1 litro e inferior ou igual a 5 litros"
"1701800"	"['04011090', '04012090']"	"leite do tipo pasteurizado em recipiente de conteúdo inferior ou igual a 1 litro"
"1701801"	"['04011090', '04012090']"	"leite do tipo pasteurizado em recipiente de conteúdo superior a 1 litro e inferior ou igual a 5 litros"
"1701900"	"['0401402', '04022130', '04022930', '04029']"	"creme de leite, em recipiente de conteúdo inferior ou igual a 1 kg"
"1701901"	"['0401402', '04022130', '04022930', '04029']"	"creme de leite, em recipiente de conteúdo superior a 1 kg"
"1701902"	"['040110', '040120', '040150', '040210', '04022920']"	"outros cremes de leite, em recipiente de conteúdo inferior ou igual a 1kg"
"1701903"	"['040110', '040120', '040150', '040210', '04022920']"	"outros cremes de leite, em recipiente de conteúdo superior a 1kg"
"1702000"	"['04029']"	"leite condensado, em recipiente de conteúdo inferior ou igual a 1 kg"
"1702001"	"['04029']"	"leite condensado, em recipiente de conteúdo superior a 1 kg"
"1702100"	"['0403']"	"iogurte e leite fermentado em recipiente de conteúdo inferior ou igual a 2 litros"
"1702100"	"['0403']"	"iogurte e leite fermentado em recipiente de conteúdo inferior ou igual a 2 litros"
"1702101"	"['0403']"	"iogurte e leite fermentado em recipiente de conteúdo superior a 2 litros"
"1702101"	"['0403']"	"iogurte e leite fermentado em recipiente de conteúdo superior a 2 litros"
"1702200"	"['04039000']"	"coalhada"
"1702300"	"['0406']"	"requeijão e similares, em recipiente de conteúdo inferior ou igual a 1 kg, exceto as embalagens individuais de conteúdo inferior ou igual a 10 g"
"1702301"	"['0406']"	"requeijão e similares, em recipiente de conteúdo superior a 1 kg"
"1702400"	"['0406']"	"queijos, exceto os dos cest 17.024.01, 17.024.02, 17.024.03 e 17.024.04"
"1702401"	"['04061010']"	"queijo muçarela"
"1702402"	"['04061090']"	"queijo minas frescal"
"1702403"	"['04061090']"	"queijo ricota"
"1702404"	"['04061090']"	"queijo petitsuisse"
"1702500"	"['04051000']"	"manteiga, em embalagem de conteúdo inferior ou igual a 1 kg, exceto as embalagens individuais de conteúdo inferior ou igual a 10 g"
"1702501"	"['04051000']"	"manteiga, em embalagem de conteúdo superior a 1 kg"
"1702502"	"['04059090']"	"manteiga de garrafa"
"1702600"	"['15171000']"	"margarina e creme vegetal em recipiente de conteúdo inferior ou igual a 500 g, exceto as embalagens individuais de conteúdo inferior ou igual a 10 g"
"1702700"	"['15171000']"	"margarina e creme vegetal, em recipiente de conteúdo superior a 500 g e inferior ou igual a 1 kg, exceto as embalagens individuais de conteúdo inferior ou igual a 10 g"
"1702701"	"['15171000']"	"margarina e creme vegetal, em recipiente de conteúdo superior a 1 kg"
"1702702"	"['151790']"	"outras margarinas e cremes vegetais em recipiente de conteúdo inferior a 1 kg, exceto as embalagens individuais de conteúdo inferior ou igual a 10 g"
"1702800"	"['15162000']"	"gorduras e óleos vegetais e respectivas frações, parcial ou totalmente hidrogenados, interesterificados, reesterificados ou elaidinizados, mesmo refinados, mas não preparados de outro modo, em recipiente de conteúdo inferior ou igual a 1 kg, exceto as embalagens individuais de conteúdo inferior ou igual a 10 g"
"1702801"	"['15162000']"	"gorduras e óleos vegetais e respectivas frações, parcial ou totalmente hidrogenados, interesterificados, reesterificados ou elaidinizados, mesmo refinados, mas não preparados de outro modo, em recipiente de conteúdo superior a 1 kg, exceto as embalagens individuais de conteúdo inferior ou igual a 10 g"
"1702900"	"['19019020']"	"doces de leite"
"1703000"	"['19041000', '19049000']"	"produtos à base de cereais, obtidos por expansão ou torrefação"
"1703100"	"['19059090']"	"salgadinhos diversos, exceto os classificados no cest 17.031.01"
"1703100"	"['19059090']"	"salgadinhos diversos, exceto os classificados no cest 17.031.01 e 17.031.02"
"1703100"	"['19059090']"	"salgadinhos diversos"
"1703101"	"['19059090']"	"salgadinhos diversos, derivados de farinha de trigo"
"1703102"	"['19059090']"	"biscoitos de polvilho"
"1703200"	"['20052000', '20059']"	"batata frita, inhame e mandioca fritos"
"1703300"	"['20081']"	"amendoim e castanhas tipo aperitivo, em embalagem de conteúdo inferior ou igual a 1 kg"
"1703301"	"['20081']"	"amendoim e castanhas tipo aperitivo, em embalagem de conteúdo superior a 1 kg"
"1703400"	"['21032010']"	"catchup em embalagens imediatas de conteúdo inferior ou igual a 650 g, exceto as embalagens contendo envelopes individualizados (sachês) de conteúdo inferior ou igual a 10 g"
"1703500"	"['21039021', '21039091']"	"condimentos e temperos compostos, incluindo molho de pimenta e outros molhos, em embalagens imediatas de conteúdo inferior ou igual a 1 kg, exceto as embalagens contendo envelopes individualizados (sachês) de conteúdo inferior ou igual a 3 g"
"1703600"	"['21031010']"	"molhos de soja preparados em embalagens imediatas de conteúdo inferior ou igual a 650 g, exceto as embalagens contendo envelopes individualizados (sachês) de conteúdo inferior ou igual a 10 g"
"1703700"	"['21033010']"	"farinha de mostarda em embalagens de conteúdo inferior ou igual a 1 kg"
"1703800"	"['21033021']"	"mostarda preparada em embalagens imediatas de conteúdo inferior ou igual a 650 g, exceto as embalagens contendo envelopes individualizados (sachês) de conteúdo inferior ou igual a 10 g"
